"species_code","species_name","provenance","growth_form"
"ACMGLA","Acmispon glaber","native","shrub"
"AMSMEN","Amsinckia menziesii","native","forb"
"BRATOR","Brassica tournefortii","exotic","forb"
"BRODIA","Bromus diandrus","exotic","grass"
"BROMAD","Bromus madritensis","exotic","grass"
"CALCIL","Calandrinia ciliata","native","forb"
"CRACON","Crassula connata","native","succulent"
"CROSET","Croton setigerus","native","forb"
"CRYINT","Cryptantha intermedia","native","forb"
"EROCIC","Erodium cicutarium","exotic","forb"
"EROMOS","Erodium moschatum","exotic","forb"
"EUCCHR","Eucrypta chrysanthemifolia","native","forb"
"HORMUR","Hordeum murinum","exotic","grass"
"LUPBIC","Lupinus bicolor","native","forb"
"LUPSPA","Lupinus sparsiflorus","native","forb"
"LUPTRU","Lupinus truncatus","native","forb"
"NEMMEN","Nemophila menziesii","native","forb"
"PECLIN","Pectocarya linearis","native","forb"
"PHADIS","Phacelia distans","native","forb"
"SCHBAR","Schismus barbatus","exotic","grass"
"SISERY","Sisymbrium erysimoides","exotic","forb"
"SONOLE","Sonchus oleraceus","exotic","forb"
